,time,rtt,queue_delay,packet_loss,server_sending_rate,delivery_rate,bandwidth
3581,1641632799,117.0,143.88751983642578,0.0,8.785912,10.27,11.432647705078125
3582,1641632799,90.0,129.9741268157959,0.0,8.785912,10.27,11.432647705078125
3583,1641632799,72.0,94.35200691223145,0.0,8.785912,10.27,11.432647705078125
3584,1641632800,89.0,72.65806198120117,0.0,8.785912,9.07,11.432647705078125
3585,1641632800,140.0,15.85078239440918,0.0,8.785912,9.07,11.432647705078125
3586,1641632800,144.0,15.85078239440918,0.0,8.785912,9.07,11.432647705078125
3587,1641632800,171.0,54.95452880859375,0.0,8.785912,9.07,11.432647705078125
3588,1641632800,90.0,75.9115219116211,0.0,8.785912,9.07,11.432647705078125
3589,1641632800,98.0,3.4193992614746094,0.0,8.785912,9.07,11.432647705078125
3590,1641632800,96.0,1.001596450805664,0.0,8.785912,9.07,11.432647705078125
3591,1641632800,147.0,3.307342529296875,0.0,8.785912,9.07,11.432647705078125
3592,1641632800,141.0,1.2197494506835938,0.0,8.785912,9.07,11.432647705078125
3593,1641632800,127.0,3.114461898803711,0.0,8.785912,9.07,11.432647705078125
3594,1641632800,85.0,1.2269020080566406,0.0,8.785912,9.07,11.432647705078125
3595,1641632800,88.0,1.5244483947753906,0.0,11.70844,9.07,11.432647705078125
3596,1641632800,84.0,1.4367103576660156,0.0,11.70844,9.07,11.432647705078125
3597,1641632800,39.0,0.8299350738525391,0.0,11.70844,9.07,11.432647705078125
3598,1641632800,62.0,1.25885009765625,0.0,11.70844,9.07,11.432647705078125
3599,1641632800,46.0,1.5554428100585938,0.0,11.70844,9.07,11.432647705078125
3600,1641632800,38.0,3.281831741333008,0.0,11.70844,9.07,11.432647705078125
3601,1641632800,54.0,2.5310516357421875,0.0,11.70844,9.07,11.432647705078125
3602,1641632801,87.0,1.1353492736816406,0.0,11.70844,11.59,11.432647705078125
3603,1641632801,35.0,1.123666763305664,0.0,11.70844,11.59,11.432647705078125
3604,1641632801,29.0,1.135110855102539,0.0,11.70844,11.59,11.432647705078125
3605,1641632801,49.0,1.3885498046875,0.0,11.70844,11.59,11.432647705078125
3606,1641632801,28.0,2.582073211669922,0.0,11.70844,11.59,11.432647705078125
3607,1641632801,52.0,1.5223026275634766,0.0,11.70844,11.59,11.432647705078125
3608,1641632801,37.0,1.1668205261230469,0.0,11.70844,11.59,11.432647705078125
3609,1641632801,30.0,0.6051063537597656,0.0,11.70844,11.59,11.432647705078125
3610,1641632801,50.0,0.9846687316894531,0.0,11.70844,11.59,11.432647705078125
3611,1641632801,36.0,2.201557159423828,0.0,11.70844,11.59,11.432647705078125
3612,1641632801,56.0,0.934600830078125,0.0,11.70844,11.59,11.432647705078125
3613,1641632801,45.0,1.2750625610351562,0.0,9.8178,11.59,11.432647705078125
3614,1641632801,37.0,3.574371337890625,0.0,9.8178,11.59,11.432647705078125
3615,1641632801,46.0,1.268148422241211,0.0,9.8178,11.59,11.432647705078125
3616,1641632801,29.0,1.8236637115478516,0.0,9.8178,11.59,11.432647705078125
3617,1641632801,47.0,1.0418891906738281,0.0,9.8178,11.59,11.432647705078125
3618,1641632801,39.0,1.1975765228271484,0.0,9.8178,11.59,11.432647705078125
3619,1641632801,31.0,1.2888908386230469,0.0,9.8178,9.61,11.432647705078125
3620,1641632802,49.0,8.037090301513672,0.0,9.8178,9.61,11.432647705078125
3621,1641632802,78.0,0.9071826934814453,0.0,9.8178,9.61,11.432647705078125
3622,1641632802,37.0,0.9634494781494141,0.0,9.8178,9.61,11.432647705078125
3623,1641632802,27.0,1.0328292846679688,0.0,9.8178,9.61,11.432647705078125
3624,1641632802,48.0,0.9572505950927734,0.0,9.8178,9.61,11.432647705078125
3625,1641632802,24.0,3.1807422637939453,0.0,9.8178,9.61,11.432647705078125
3626,1641632802,41.0,1.1911392211914062,0.0,9.8178,9.61,11.432647705078125
3627,1641632802,24.0,3.2510757446289062,0.0,9.8178,9.61,11.432647705078125
3628,1641632802,44.0,0.4582405090332031,0.0,9.8178,9.61,11.432647705078125
3629,1641632802,28.0,3.2694339752197266,0.0,9.8178,9.61,11.432647705078125
3630,1641632802,50.0,1.1789798736572266,0.0,9.771536,9.61,11.432647705078125
3631,1641632802,41.0,1.7457008361816406,0.0,9.771536,9.61,11.432647705078125
3632,1641632802,30.0,1.2164115905761719,0.0,9.771536,9.61,11.432647705078125
3633,1641632802,44.0,1.5187263488769531,0.0,9.771536,9.61,11.432647705078125
3634,1641632802,37.0,2.529621124267578,0.0,9.771536,9.61,11.432647705078125
3635,1641632802,54.0,1.0488033294677734,0.0,9.771536,9.61,11.432647705078125
3636,1641632802,23.0,2.6636123657226562,0.0,9.771536,9.61,11.432647705078125
3637,1641632803,45.0,0.9412765502929688,0.0,9.771536,9.44,11.432647705078125
3638,1641632803,26.0,3.0393600463867188,0.0,9.771536,9.44,11.432647705078125
3639,1641632803,49.0,1.2199878692626953,0.0,9.771536,9.44,11.432647705078125
